,day_cnt_raw,day_cnt_cumu,date
0,14,14,2022-08-24
1,8,22,2022-08-25
2,4,26,2022-08-26
3,0,26,2022-08-27
4,0,26,2022-08-28
5,0,26,2022-08-29
6,9,35,2022-08-30
7,0,35,2022-08-31
8,0,35,2022-09-01
9,11,46,2022-09-02
10,0,46,2022-09-03
11,0,46,2022-09-04
12,0,46,2022-09-05
13,6,52,2022-09-06
14,3,55,2022-09-07
15,0,55,2022-09-08
16,0,55,2022-09-09
17,0,55,2022-09-10
18,0,55,2022-09-11
19,5,60,2022-09-12
20,11,71,2022-09-13
21,0,71,2022-09-14
22,14,85,2022-09-15
23,7,92,2022-09-16
24,9,101,2022-09-17
25,0,101,2022-09-18
26,0,101,2022-09-19
27,0,101,2022-09-20
28,0,101,2022-09-21
29,0,101,2022-09-22
30,2,103,2022-09-23
31,0,103,2022-09-24
32,0,103,2022-09-25
33,3,106,2022-09-26
34,3,109,2022-09-27
35,0,109,2022-09-28
36,4,113,2022-09-29
37,0,113,2022-09-30
38,0,113,2022-10-01
39,2,115,2022-10-02
40,0,115,2022-10-03
41,6,121,2022-10-04
42,0,121,2022-10-05
43,0,121,2022-10-06
44,0,121,2022-10-07
45,0,121,2022-10-08
46,0,121,2022-10-09
47,0,121,2022-10-10
48,0,121,2022-10-11
49,6,127,2022-10-12
50,0,127,2022-10-13
51,36,163,2022-10-14
52,0,163,2022-10-15
53,11,174,2022-10-16
54,0,174,2022-10-17
55,16,190,2022-10-18
56,0,190,2022-10-19
57,0,190,2022-10-20
58,0,190,2022-10-21
59,0,190,2022-10-22
60,0,190,2022-10-23
61,10,200,2022-10-24
62,4,204,2022-10-25
63,26,230,2022-10-26
64,10,240,2022-10-27
65,8,248,2022-10-28
66,8,256,2022-10-29
67,3,259,2022-10-30
68,7,266,2022-10-31
69,5,271,2022-11-01
70,3,274,2022-11-02
71,2,276,2022-11-03
72,0,276,2022-11-04
73,1,277,2022-11-05
74,0,277,2022-11-06
